objectid,accessioned,accessionnum,locationid,title,displaydate_x,beginyear,visualbrowserclassification_x,endyear,visualbrowsertimespan,medium,dimensions,inscription,markings,attributioninverted,attribution,provenancetext,creditline,classification_x,subclassification,parentid,isvirtual,departmentabbr,portfolio,series,volume,watermarks,lastdetectedmodification,wikidataid,iiifurl,imageurl
43898,1,1957.14.178,5606,Pompey,15th century,1400,sculpture,1499,1300 to 1400,bronze//Dark brown patina,"overall (oval): 6.11 x 4.1 cm (2 3/8 x 1 5/8 in.)
gross weight: 53.12 gr (0.117 lb.)","on reverse, possibly the name of the bronze caster or the first owner, cast in from inscription in the model or the wax: FA / BRICIO (Frabrizio)",Reverse bears former inventory number 466 in black ink (unidentified collection).,"Italian 15th Century, after the Antique","Italian 15th Century, after the Antique","Gustave Dreyfus [1837-1914], Paris; his estate; purchased 1930 by (Duveen Brothers, Inc., London and New York); purchased 1945 by the Samuel H. Kress Foundation, New York; gift 1957 to NGA.",Samuel H. Kress Collection,Sculpture,Plaquette,,0,CSD,,,,,2023-05-09 17:01:03.48-04,Q63814749,https://api.nga.gov/iiif/24eb8d93-1c92-42d7-a858-9faedef67135,"https://api.nga.gov/iiif/24eb8d93-1c92-42d7-a858-9faedef67135/full/!800,800/0/default.jpg"
43861,1,1957.14.141,,The Virgin and Child,15th century,1400,sculpture,1499,1300 to 1400,bronze//Light brown patina,"overall (silhouetted contour): 13.6 x 3.65 cm (5 3/8 x 1 7/16 in.)
gross weight: 105.34 gr (0.105 kg)",,"Reverse bears former inventory number 346 in red paint (Dreyfus), and earlier-style NGA accession number, also in red paint.",Florentine 15th Century,Florentine 15th Century,"Gustave Dreyfus [1837-1914], Paris; his estate; purchased 1930 by (Duveen Brothers, Inc., London and New York); purchased 1945 by the Samuel H. Kress Foundation, New York; gift 1957 to NGA.",Samuel H. Kress Collection,Sculpture,Applique,,0,CSD,,,,,2023-05-09 17:01:03.48-04,Q63814712,https://api.nga.gov/iiif/23136043-79a3-4a09-b845-41e410634171,"https://api.nga.gov/iiif/23136043-79a3-4a09-b845-41e410634171/full/!800,800/0/default.jpg"
45598,1,1957.14.1324,,"Mary of Burgundy, 1457-1482, Wife of Maximilian I, Archduke of Austria",15th century,1400,sculpture,1499,1300 to 1400,bronze,overall: 13.4 x 9.8 cm (5 1/4 x 3 7/8 in.),,,Flemish 15th Century,Flemish 15th Century,"Gustave Dreyfus [1837-1914], Paris; his estate; purchased 1930 by (Duveen Brothers, Inc., London and New York); purchased 1945 by the Samuel H. Kress Foundation, New York; gift 1957 to NGA.",Samuel H. Kress Collection,Sculpture,Plaquette,,0,CSD,,,,,2023-05-09 17:01:03.48-04,Q63854417,https://api.nga.gov/iiif/1c4ed376-d421-4fa3-b449-b23f501dbe4c,"https://api.nga.gov/iiif/1c4ed376-d421-4fa3-b449-b23f501dbe4c/full/!800,800/0/default.jpg"
138713,1,2007.63.1,,Sphaera Mundi,before 14 November 1485,1400,volume,1485,1300 to 1400,"bound volume with 62 woodcut illustrations of which 7 are printed in 2 or 3 colors; 12 woodcut initials, on laid paper",book: 22.3 x 16 x 1.4 cm (8 3/4 x 6 5/16 x 9/16 in.),margin notations in brown ink throughout; inside upper cover by later hand in graphite: Goff j-406/ 1st color printing; continued by different later hand: i.e. 1st book in which several colored inks were used simultaneously; inside lower cover in graphite: 1-68710 = 58ff / margin of 26 repaired / c.c. 5/79pf,,"Sacrobosco, Johannes de (author), J.L. Santritter (artist) and Hieronymus de Sanctis (artist)","Johannes de Sacrobosco (author), J.L. Santritter (artist) and Hieronymus de Sanctis (artist)","Aloisius de Malchiavelli, Bologna (marginalia and his acquisition note beneath the colophon, dated 1488). Harrison D. Horblit. Dr. Jörn Günther, Hamburg; purchased 2007 by NGA.",William B. O'Neal Fund,Volume,,,0,CG-E,,,,,2023-05-09 17:01:03.48-04,,,
43992,1,1957.14.269,,Roman Triumph,,1420,sculpture,1560,1401 to 1500,bronze//Dark brown patina (rubbed on exposed surfaces),overall: 4.1 x 4.8 cm (1 5/8 x 1 7/8 in.) gross weight: 24 gr,,,Master of Coriolanus,Master of Coriolanus,"Gustave Dreyfus [1837-1914], Paris; his estate; purchased 1930 by (Duveen Brothers, Inc., London and New York); purchased 1945 by the Samuel H. Kress Foundation, New York; gift 1957 to NGA.",Samuel H. Kress Collection,Sculpture,Plaquette,,0,CSD,,,,,2023-05-09 17:01:03.48-04,Q63815039,https://api.nga.gov/iiif/db1d3fe7-7299-4036-8dcd-74295827a9e8,"https://api.nga.gov/iiif/db1d3fe7-7299-4036-8dcd-74295827a9e8/full/!800,800/0/default.jpg"
177272,1,2015.19.4043,,Plate with clasped hands,late 15th/early 16th century,1450,decorative art,1549,1401 to 1500,tin-glazed earthenware (maiolica),overall (height by diameter): 3 × 23.6 cm (1 3/16 × 9 5/16 in.),on banderole: MA / FIΔ,,Faenza 15th or 16th Century,Faenza 15th or 16th Century,"Émile Gavet [1830-1904], Paris;[1] purchased by William Andrews Clark [1839-1925], New York;[2] bequest 1926 to the Corcoran Gallery of Art, Washington; acquired 2014 by the National Gallery of Art.


[1] Émile Molinier, _Collection Émile Gavet, catalogue raisonné précédé d'une historique et archéologique sur les oeuvres d'art qui compose cette collection_, Paris, 1889: 104, no. 441, pl. LIIter .

[2] See the Clark collection records in NGA curatorial files.
",Corcoran Collection (William A. Clark Collection),Decorative Art,Ceramic,,0,CSD,,,,,2020-04-21 22:01:50.85-04,,https://api.nga.gov/iiif/2ca1a9e9-dff5-4af4-a522-37f6c97adce3,"https://api.nga.gov/iiif/2ca1a9e9-dff5-4af4-a522-37f6c97adce3/full/!800,800/0/default.jpg"
177727,1,2015.19.4045,,Inkstand with sleeping knight,late 15th/early 16th century,1450,decorative art,1549,1401 to 1500,tin-glazed earthenware (maiolica),overall: 12.2 × 21.7 × 16.4 cm (4 13/16 × 8 9/16 × 6 7/16 in.),"front center, shield of arms: Argent, a chevron gules between three mullets pierced azure",,Faenza 15th or 16th Century,Faenza 15th or 16th Century,"Émile Gavet [1830-1904], Paris;[1] purchased by William Andrews Clark [1839-1925], New York; bequest 1926 to the Corcoran Gallery of Art, Washington; acquired 2015 by the National Gallery of Art.


[1] Wendy M. Watson’s catalogue (_Italian Renaissance Maiolica from the William A. Clark Collection_, exh. cat. [11 venues], London and Washington, 1986: 40, no. 4) appends Gavet’s name with a question mark, presumably because this work could not be located in Émile Molinier’s catalogues of the Gavet collection (_Collection Émile Gavet, catalogue raisonné précédé d'une historique et archéologique sur les oeuvres d'art qui compose cette collection_, Paris, 1889 and 1894). However, Clark collection records, in NGA curatorial files, say Clark purchased the work from Gavet.",Corcoran Collection (William A. Clark Collection),Decorative Art,Ceramic,,0,CSD,,,,,2022-08-29 22:01:36.497-04,Q62288020,https://api.nga.gov/iiif/5df8bf44-8b6f-47cc-870e-58af236c0992,"https://api.nga.gov/iiif/5df8bf44-8b6f-47cc-870e-58af236c0992/full/!800,800/0/default.jpg"
177272,1,2015.19.4043,,Plate with clasped hands,late 15th/early 16th century,1450,decorative art,1549,1401 to 1500,tin-glazed earthenware (maiolica),overall (height by diameter): 3 × 23.6 cm (1 3/16 × 9 5/16 in.),on banderole: MA / FIΔ,,Faenza 15th or 16th Century,Faenza 15th or 16th Century,"Émile Gavet [1830-1904], Paris;[1] purchased by William Andrews Clark [1839-1925], New York;[2] bequest 1926 to the Corcoran Gallery of Art, Washington; acquired 2014 by the National Gallery of Art.


[1] Émile Molinier, _Collection Émile Gavet, catalogue raisonné précédé d'une historique et archéologique sur les oeuvres d'art qui compose cette collection_, Paris, 1889: 104, no. 441, pl. LIIter .

[2] See the Clark collection records in NGA curatorial files.
",Corcoran Collection (William A. Clark Collection),Decorative Art,Ceramic,,0,CSD,,,,,2020-04-21 22:01:50.85-04,,https://api.nga.gov/iiif/8e585f01-2e01-4c1c-9d55-ef7d49048c6d,"https://api.nga.gov/iiif/8e585f01-2e01-4c1c-9d55-ef7d49048c6d/full/!800,800/0/default.jpg"
178342,1,2014.136.335,,Inkstand with Saint George and the Dragon,late 15th/early 16th century,1450,decorative art,1549,1401 to 1500,tin-glazed earthenware (maiolica),overall: 26.2 × 25.4 × 12.7 cm (10 5/16 × 10 × 5 in.),,,Faenza 15th or 16th Century,Faenza 15th or 16th Century,"Émile Gavet [1830-1904], Paris;[1] purchased by William Andrews Clark [1839-1925], New York; bequest 1926 to the Corcoran Gallery of Art, Washington; acquired 2014 by the National Gallery of Art.


[1] Wendy M. Watson’s catalogue (_Italian Renaissance Maiolica from the William A. Clark Collection_, exh. cat. [11 venues], London and Washington, 1986: 38, no. 3) appends Gavet’s name with a question mark, presumably because this work could not be located in Émile Molinier’s catalogues of the Gavet collection (_Collection Émile Gavet, catalogue raisonné précédé d'une historique et archéologique sur les oeuvres d'art qui compose cette collection_, Paris, 1889 and 1894). However, Clark collection records, in NGA curatorial files, say Clark purchased the work from Gavet. 


",Corcoran Collection (William A. Clark Collection),Decorative Art,Ceramic,,0,CSD,,,,,2022-08-29 22:01:36.497-04,Q62288134,https://api.nga.gov/iiif/84b87b46-ecf6-47d1-bdfc-70e697a1581a,"https://api.nga.gov/iiif/84b87b46-ecf6-47d1-bdfc-70e697a1581a/full/!800,800/0/default.jpg"
15,1,1937.1.13,,The Adoration of the Magi,c. 1450,1450,painting,1450,1401 to 1500,tempera on panel,"overall: 26.9 x 46.4 cm (10 9/16 x 18 1/4 in.)
framed: 35.9 x 56.4 x 5.2 cm (14 1/8 x 22 3/16 x 2 1/16 in.)",,,Giovanni di Paolo,Giovanni di Paolo,"John Rushout, 6th bt. and 2nd baron Northwick [1770-1859], Northwick Park, near near Moreton-in-the-Marsh, originally Worcestershire, now Gloucestershire, and Thirlestane House, near Cheltenham, Gloucestershire;[1] (his estate sale, Phillips, at Thirlestane House, 26 July-30 August 1859, 10th day [10 August], no. 973, as _The Adoration of the Kings_ by Gentile da Fabriano); (Daniell, London);[2] sold to William Fuller Maitland [1813-1876], Stansted Hall, Stansted, Essex;[3] by inheritance to his son, William Fuller Maitland [1844-1932], Stansted Hall; sold after 1893 to (Robert Langton Douglas, London);[4] Dr. Eduard Simon [1864-1929], Berlin, by 1914;[5] (his estate sale, Cassirer and Helbing, Berlin, 11 October 1929, no. 3); (Duveen Brothers, Inc., London, New York, and Paris);[6] purchased 15 December 1936 by The A.W. Mellon Educational and Charitable Trust, Pittsburgh;[7] gift 1937 to NGA.





[1] On this collection see Frank Herrmann, _The English as Collector. A Documentary Chrestomathy_, London, 1972: 320-326, and Oliver Bradbury and Nicholas Penny, ""The picture collecting of Lord Northwick: Part I and Part II,"" _Burlington Magazine_ (August and October 2002): 485-496 and 606-617. The fact that Gustav Friedrich Waagen, _Treasures of Art in Great Britain_, 3 vols., London, 1854: 3:195-212, does not mention the painting in describing his visit to Thirlestane House does not mean that it was not there; in fact the eminent connoisseur could not make notes, as he himself informs us, of more than 200 of the some 800 pictures seen during his short stay.



[2] Fern Rusk Shapley, _Catalogue of the Italian Paintings_, 2 vols., Washington, D.C., 1979: 1:222.



[3] _Catalogue of Pictures at Stansted Hall_, 1872: 8, as by Gentili [sic] da Fabriano. The painting is already cited by Joseph Archer Crowe and Giovanni Battista Cavalcaselle, _A New History of Painting in Italy, from the II to the XVI Century_, 3 vols., London, 1864-1866: 3(1866):80 n. 6) as owned by Maitland. Not included in the sale of the collection on 10 May 1879 at Christie, Manson & Woods, London, it remained with the collector's son and heir.



[4] The painting is listed in the 1893 _Catalogue of Pictures at Stansted Hall_ as number 17, by Gentili da Fabriano. See also Max J. Friedlander, _Die Sammlung Dr. Eduard Simon_, Berlin, 1929:  22, no. 3, and Denys Sutton, ""Robert Langton Davis. Part 2,"" _Apollo_ 109, no.  207 (May 1979): 373; according to Friedlander the painting was acquired by Douglas from ""Stanstead [sic] House."" See also letter from Douglas to Fowles dated 1 May 1941, Duveen Brothers Records, Box 244 (reel 299).



[5] The painting is described in the catalogue of the Berlin _Ausstellung_ (1914, no. 123) as being in the Simon collection, on which see Barbara Paul, ""Das Kollektionieren ist die edelste aller Leidenschaften,"" _Kritische Berichte_ 21, no. 3 (1993): 51-53. The acquisition was probably a fairly recent one.  Edward Hutton (in Joseph Archer Crowe and Giovanni Battista Cavalcaselle, _A New History of Painting in Italy..._, 3rd ed., ed Edward Hutton, 3 vols, London and New York, 1908-1909: 3:126 n. 8) was unaware of it and erroneously identified the ex-Maitland _Adoration_ as the one that during his time belonged to the collection of Richard von Kaufmann in Berlin (today in the Rijksmuseum Kröller-Müller in Otterlo). Tancred Borenius (in Joseph Archer Crowe and Giovanni Battista Cavalcaselle, _A New History of Painting in Italy..._, 2nd ed., ed. Langton Douglas and Tancred Borenius, 6 vols., London, 1903-1914: 5(1914):176 n. 6) also did not know the whereabouts of the painting.



[6] Duveen Brothers Records, accession number 960015, Research Library, Getty Research Institute, Los Angeles: reel 143, box 288, folder 1; copies in NGA curatorial files.



[7] The original invoice is in Gallery Archives, copy in NGA curatorial files.







",Andrew W. Mellon Collection,Painting,,,0,CIS-R,,,,,2023-08-01 22:01:33.603-04,Q20173683,https://api.nga.gov/iiif/851eaa44-5707-44d8-910e-42c41c557110,"https://api.nga.gov/iiif/851eaa44-5707-44d8-910e-42c41c557110/full/!800,800/0/default.jpg"
46311,1,1961.17.7,,White Eagle and Crown of Poland,c. 1450,1450,print,1450,1401 to 1500,woodcut on gray paper,,,,Polish 15th Century,Polish 15th Century,,Rosenwald Collection,Print,,,0,CG-E,,,,,2023-05-10 13:28:58.583-04,Q65218927,https://api.nga.gov/iiif/1e63b105-760e-4425-896a-1419f31b230a,"https://api.nga.gov/iiif/1e63b105-760e-4425-896a-1419f31b230a/full/!800,800/0/default.jpg"
133729,1,2005.137.1.b,,Enclosure and a Bird of Prey above [reverse],second half 15th century,1450,sculpture,1499,1401 to 1500,bronze,overall (diameter): 5.8 cm (2 5/16 in.),across field: DA / PRO (give for),,"Niccolò Fiorentino, Circle of",Circle of Niccolò Fiorentino,"(sale, Astarte, Lugano, 26-27 November 2004, no. 2220); Andrew M. Brown, Anchorage; gift 2005 to NGA.

",Gift of Andrew M. Brown,Sculpture,Medal/Medallion,133728,0,CSD,,,,,2023-05-09 17:01:03.48-04,Q63863497,https://api.nga.gov/iiif/ce6c6c47-dde5-4251-9ed5-42abcbbe29b0,"https://api.nga.gov/iiif/ce6c6c47-dde5-4251-9ed5-42abcbbe29b0/full/!800,800/0/default.jpg"
3155,1,1942.11.2,,Pietà,c. 1450/1500,1450,sculpture,1500,1401 to 1500,alabaster,overall: 29.9 x 36.2 x 5.8 cm (11 3/4 x 14 1/4 x 2 5/16 in.),,"""22.5"" in ink on proper right at back of Mary's bench",German or Netherlandish 15th Century,German or Netherlandish 15th Century,"Reportedly Lichtenthal Abbey, Baden-Baden.[1] (J. and S. Goldschmidt, Frankfurt-am-Main);[2] Ralph Harman [1873-1931] and Mary Batterman [d. 1951] Booth, Grosse Point, Michigan, by 1923;[3] gift 1942 to NGA.


[1] Lichtenthal as the source is first mentioned by Mary Batterman Booth in a letter to John Walker, undated but with material from late 1942, in NGA curatorial files.  On that Cistercian convent in Baden-Baden, see Emil Lacroix et al., _Die Kunstdenkmäler der Stadt Baden-Baden_ (Karlsruhe, 1942), 406-522; Sr. M. Pia Schindele, ""Die Abtei Lichtenthal; ihr Verhaltnis zum Cistercienserorden, zu Päpsten und Bischöfen und zum badischen Landesherrn im Laufe der Jahrehunderte,"" _Freiburger Diözesan-Archiv_ 104 (1984), 19-166, and 105 (1985), 67-248.  Sister Schindele, archivist of Lichtenthal, who provided these references, reported that the church and convent were supplied with works of art beginning in the late fifteenth century by two noble abbesses, Margaretha von Baden [1477-1496] and Maria von Baden [1496-1519], and that financial difficulties forced the sale of some works of art around the beginning of this century (letter to Alison Luchs, 26 February 1986, in NGA curatorial files).

[2] Mary Batterman Booth to John Walker, undated but with material from late 1942, in NGA curatorial files.



[3] Theodor Demmler, ""German Gothic Sculpture in the Ralph N.[sic] Booth Collection, Detroit,"" _Art in America_ 11 (June 1923), 165-170, fig.  2.

",Gift of Mrs. Ralph Harman Booth,Sculpture,Statuette,,0,CSD,,,,,2023-05-09 17:01:03.48-04,Q63809475,https://api.nga.gov/iiif/be66939a-2227-4edd-aeea-f0f27cc0bcb6,"https://api.nga.gov/iiif/be66939a-2227-4edd-aeea-f0f27cc0bcb6/full/!800,800/0/default.jpg"
43728,1,1957.14.9,5609,Fortuna,c. 1450/1475,1450,sculpture,1475,1401 to 1500,bronze,overall: 46.5 x 17.7 x 21 cm (18 5/16 x 6 15/16 x 8 1/4 in.),,,"Donatello, Follower of, Florentine or Sienese 15th Century","Follower of Donatello, Florentine or Sienese 15th Century","Art market, Paris; purchased 1903 by the Kaiser Friedrich Museum, Berlin; sold 1935 to Bruno Kern, Vienna; by inheritance to his wife, and his son from his first marriage. (Wildenstein & Co., New York); purchased 1955 by the Samuel H. Kress Foundation, New York;[1] gift 1957 to NGA.


[1] A letter dated 8 February 1955 from Wildenstein & Co. to the Kress Foundation outlines the agreement for the sale of two paintings and a bronze figure (copy in NGA curatorial files). The bronze is described as a ""winged candlestick figure"" made by Francisco di Giorgio.",Samuel H. Kress Collection,Sculpture,Stabile,,0,CSD,,,,,2023-06-29 22:01:31.813-04,Q63809431,https://api.nga.gov/iiif/b55d89a7-1459-47b6-a886-ff13ae3dda5a,"https://api.nga.gov/iiif/b55d89a7-1459-47b6-a886-ff13ae3dda5a/full/!800,800/0/default.jpg"
44190,1,1957.14.471,,Phaedra and Hippolytus,second half 15th century,1450,sculpture,1499,1401 to 1500,bronze//Medium brown patina,overall (diameter): 6.4 cm (2 1/2 in.) gross weight: 73 gr,,,Master IO.F.F.,Master IO.F.F.,"Gustave Dreyfus [1837-1914], Paris; his estate; purchased 1930 by (Duveen Brothers, Inc., London and New York); purchased 1945 by the Samuel H. Kress Foundation, New York; gift 1957 to NGA.",Samuel H. Kress Collection,Sculpture,Plaquette,,0,CSD,,,,,2023-05-09 17:01:03.48-04,Q63815021,https://api.nga.gov/iiif/017f8b4b-3d7f-4c8e-9fb3-87a83a62332b,"https://api.nga.gov/iiif/017f8b4b-3d7f-4c8e-9fb3-87a83a62332b/full/!800,800/0/default.jpg"
